AimAng1,AimAang2,Aimx,Aimy,GV.currentx1,GV.currenty1,GV.startx,GV.starty,GV.finishx,GV.finishy,dist,GV.Set_SteerAng,GV.Steerangle,GV.gogo,GV.ToEndPoint,GVQual,AveErr,ErrDeg
'50,'0,167.66527777507667,159.80183080574804,166.90273614103566,159.15483250266408,110.0,110.0,220.0,205.0, -0.009,0,0,50,17.3,0,0,0
'50,'0,167.66527777507667,159.80183080574804,166.90273614103566,159.15483250266408,110.0,110.0,220.0,205.0, -0.009,0,0,50,17.3,0,0,0
'50,'0,167.66527777507667,159.80183080574804,166.90273614103566,159.15483250266408,110.0,110.0,220.0,205.0, -0.009,0,0,50,17.3,0,0,0
'50,'0,167.66527777507667,159.80183080574804,166.90273614103566,159.15483250266408,110.0,110.0,220.0,205.0, -0.009,0,0,50,17.3,0,0,0
'50,'0,167.66527777507667,159.80183080574804,166.90273614103566,159.15483250266408,110.0,110.0,220.0,205.0, -0.009,0,0,50,17.3,0,0,0
'49,'-1,168.04365098887462,160.1286076722099,167.28575836259515,159.47622630750735,110.0,110.0,220.0,205.0, -0.002,-1,0,50,17.1,0,0,0
'49,'-1,168.04365098887462,160.1286076722099,167.28575836259515,159.47622630750735,110.0,110.0,220.0,205.0, -0.002,-1,0,50,17.1,0,0,0
'49,'-1,168.04365098887462,160.1286076722099,167.28575836259515,159.47622630750735,110.0,110.0,220.0,205.0, -0.002,-1,0,50,17.1,0,0,0
'49,'-1,168.04365098887462,160.1286076722099,167.28575836259515,159.47622630750735,110.0,110.0,220.0,205.0, -0.002,-1,0,50,17.1,0,0,0
'49,'-1,168.04365098887462,160.1286076722099,167.28575836259515,159.47622630750735,110.0,110.0,220.0,205.0, -0.002,-1,0,50,17.1,0,0,0
'49,'-1,168.04365098887462,160.1286076722099,167.28575836259515,159.47622630750735,110.0,110.0,220.0,205.0, -0.002,-1,0,50,17.1,0,0,0
'49,'-1,168.04365098887462,160.1286076722099,167.28575836259515,159.47622630750735,110.0,110.0,220.0,205.0, -0.002,-1,0,50,17.1,0,0,0
'49,'-1,168.04365098887462,160.1286076722099,167.28575836259515,159.47622630750735,110.0,110.0,220.0,205.0, -0.002,-1,0,50,17.1,0,0,0
'49,'-1,168.04365098887462,160.1286076722099,167.28575836259515,159.47622630750735,110.0,110.0,220.0,205.0, -0.002,-1,0,50,17.1,0,0,0
'49,'-1,168.04365098887462,160.1286076722099,167.28575836259515,159.47622630750735,110.0,110.0,220.0,205.0, -0.002,-1,0,50,17.1,0,0,0
'49,'-1,168.04365098887462,160.1286076722099,167.28575836259515,159.47622630750735,110.0,110.0,220.0,205.0, -0.002,-1,0,50,17.1,0,0,0
'49,'-1,168.4220242026726,160.45538453867178,167.66878058415463,159.79762011235061,110.0,110.0,220.0,205.0, -0.005,-1,-1,50,17.0,0,0,0
'49,'-1,168.4220242026726,160.45538453867178,167.66878058415463,159.79762011235061,110.0,110.0,220.0,205.0, 0.005,-1,-1,50,17.0,0,0,0
'49,'-1,168.4220242026726,160.45538453867178,167.66878058415463,159.79762011235061,110.0,110.0,220.0,205.0, 0.005,-1,-1,50,17.0,0,0,0
'49,'-1,168.4220242026726,160.45538453867178,167.66878058415463,159.79762011235061,110.0,110.0,220.0,205.0, 0.005,-1,-1,50,17.0,0,0,0
'49,'-1,168.4220242026726,160.45538453867178,167.66878058415463,159.79762011235061,110.0,110.0,220.0,205.0, 0.005,-1,-1,50,17.0,0,0,0
'49,'-1,168.4220242026726,160.45538453867178,167.66878058415463,159.79762011235061,110.0,110.0,220.0,205.0, 0.005,-1,-1,50,17.0,0,0,0
'49,'-1,168.4220242026726,160.45538453867178,167.66878058415463,159.79762011235061,110.0,110.0,220.0,205.0, 0.005,-1,-1,50,17.0,0,0,0
'49,'-1,168.4220242026726,160.45538453867178,167.66878058415463,159.79762011235061,110.0,110.0,220.0,205.0, 0.005,-1,-1,50,17.0,0,0,0
'49,'-1,168.4220242026726,160.45538453867178,167.66878058415463,159.79762011235061,110.0,110.0,220.0,205.0, 0.005,-1,-1,50,17.0,0,0,0
'49,'-1,168.4220242026726,160.45538453867178,167.66878058415463,159.79762011235061,110.0,110.0,220.0,205.0, 0.005,-1,-1,50,17.0,0,0,0
'48,'-2,168.80039741647053,160.78216140513365,168.05180280571412,160.11901391719388,110.0,110.0,220.0,205.0, 0.013,-2,-1,50,16.9,0,0,0
